Attrition,OverTime,TotalWorkingYears,JobLevel,YearsInCurrentRole,MonthlyIncome,Age,YearsWithCurrManager,StockOptionLevel,YearsAtCompany,JobInvolvement,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,DistanceFromHome,WorkLifeBalance,TrainingTimesLastYear,Department,EducationField,JobRole,MaritalStatus
1,1,8,2,4,5993,41,5,0,6,3,1,4,2,1,1,0,Sales,Life Sciences,Sales Executive,Single
0,0,10,2,7,5130,49,7,1,10,2,2,2,3,8,3,3,Research & Development,Life Sciences,Research Scientist,Married
1,1,7,1,0,2090,37,0,0,0,2,1,3,4,2,3,3,Research & Development,Other,Laboratory Technician,Single
0,1,8,1,7,2909,33,0,0,8,3,2,3,4,3,3,3,Research & Development,Life Sciences,Research Scientist,Married
0,0,6,1,2,3468,27,2,1,2,3,1,2,1,2,3,3,Research & Development,Medical,Laboratory Technician,Married
0,0,8,1,7,3068,32,6,0,7,3,2,4,4,2,2,2,Research & Development,Life Sciences,Laboratory Technician,Single
0,1,12,1,0,2670,59,0,3,1,4,1,1,3,3,2,3,Research & Development,Medical,Laboratory Technician,Married
0,0,1,1,0,2693,30,0,1,1,3,1,3,4,24,3,2,Research & Development,Life Sciences,Laboratory Technician,Divorced
0,0,10,3,7,9526,38,8,0,9,2,2,3,4,23,3,2,Research & Development,Life Sciences,Manufacturing Director,Single
0,0,17,2,7,5237,36,7,2,7,3,1,3,3,27,2,3,Research & Development,Medical,Healthcare Representative,Married
0,0,6,1,4,2426,35,3,1,5,4,1,2,1,16,3,5,Research & Development,Medical,Laboratory Technician,Married
0,1,10,2,5,4193,29,8,0,9,2,1,3,4,15,3,3,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,5,1,2,2911,31,3,1,5,3,1,3,1,26,2,1,Research & Development,Life Sciences,Research Scientist,Divorced
0,0,3,1,2,2661,34,2,1,2,3,1,4,2,19,3,2,Research & Development,Medical,Laboratory Technician,Divorced
1,1,6,1,2,2028,28,3,0,4,2,1,3,3,24,3,4,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,10,3,9,9980,29,8,1,10,4,1,1,2,21,3,1,Research & Development,Life Sciences,Manufacturing Director,Divorced
0,1,7,1,2,3298,32,5,2,6,4,1,2,1,5,2,5,Research & Development,Life Sciences,Research Scientist,Divorced
0,1,1,1,0,2935,22,0,2,1,4,0,4,4,16,2,2,Research & Development,Medical,Laboratory Technician,Divorced
0,0,31,4,8,15427,53,7,0,25,2,1,4,1,2,3,3,Sales,Life Sciences,Manager,Married
0,1,6,1,2,3944,38,2,0,3,3,1,4,4,2,3,3,Research & Development,Life Sciences,Research Scientist,Single
0,0,5,2,2,4011,24,3,1,4,4,0,3,1,11,2,5,Research & Development,Other,Manufacturing Director,Divorced
1,0,10,1,3,3407,36,3,0,5,2,1,1,3,9,3,4,Sales,Life Sciences,Sales Representative,Single
0,0,13,3,6,11994,34,11,0,12,3,1,2,1,7,3,4,Research & Development,Life Sciences,Research Director,Single
0,0,0,1,0,1232,21,0,0,0,3,1,4,3,15,3,6,Research & Development,Life Sciences,Research Scientist,Single
1,0,8,1,2,2960,34,3,0,4,3,1,1,2,6,3,2,Research & Development,Medical,Research Scientist,Single
0,0,26,5,13,19094,53,8,1,14,3,1,3,3,5,2,3,Research & Development,Other,Manager,Divorced
1,1,10,1,2,3919,32,7,0,10,1,2,1,2,16,3,5,Research & Development,Life Sciences,Research Scientist,Single
0,0,10,2,7,6825,42,2,1,9,3,1,2,3,8,3,2,Sales,Marketing,Sales Executive,Married
0,0,24,3,6,10248,44,17,1,22,2,1,4,1,7,3,4,Research & Development,Medical,Healthcare Representative,Married
0,0,22,5,2,18947,46,1,0,2,3,1,1,2,2,2,2,Sales,Marketing,Manager,Single
0,0,7,1,1,2496,33,0,0,1,3,1,4,3,2,3,3,Research & Development,Medical,Laboratory Technician,Single
0,1,9,2,2,6465,44,3,0,4,3,1,4,4,10,4,5,Research & Development,Other,Healthcare Representative,Married
0,0,10,1,0,2206,30,8,0,10,2,1,3,4,9,3,5,Research & Development,Medical,Laboratory Technician,Single
1,0,19,2,0,2086,39,0,1,1,3,1,4,4,5,4,6,Sales,Technical Degree,Sales Representative,Married
1,1,6,1,0,2293,24,0,1,2,3,1,4,2,1,2,2,Research & Development,Medical,Research Scientist,Married
0,0,6,1,3,2645,43,4,2,5,4,1,3,4,2,2,3,Research & Development,Medical,Research Scientist,Divorced
1,1,3,1,2,2683,50,2,0,3,2,1,3,1,3,3,2,Sales,Marketing,Sales Representative,Married
0,0,2,1,2,2014,35,2,0,2,3,1,4,4,2,3,3,Sales,Marketing,Sales Representative,Married
0,1,6,1,1,3419,36,0,1,1,2,1,1,2,5,4,3,Research & Development,Life Sciences,Research Scientist,Married
0,0,10,2,3,5376,33,3,2,5,4,2,1,3,1,3,3,Sales,Life Sciences,Sales Executive,Married
0,0,1,1,0,1951,35,0,1,1,3,1,4,3,4,3,3,Research & Development,Other,Laboratory Technician,Divorced
0,0,1,1,0,2341,27,0,1,1,3,1,1,4,2,3,6,Research & Development,Life Sciences,Laboratory Technician,Divorced
1,0,1,1,0,2293,26,1,0,1,1,1,3,1,25,2,2,Research & Development,Life Sciences,Laboratory Technician,Single
0,0,9,3,8,8726,27,7,0,9,3,2,3,4,8,3,0,Sales,Life Sciences,Sales Executive,Single
0,0,12,2,8,4011,30,7,0,12,3,2,4,3,1,3,2,Research & Development,Medical,Laboratory Technician,Single
1,0,23,5,15,19545,41,8,0,22,3,1,3,2,12,3,0,Research & Development,Technical Degree,Research Director,Married
0,0,10,2,5,4568,34,7,0,9,3,0,3,2,23,3,2,Sales,Marketing,Sales Executive,Single
0,0,8,1,0,3022,37,0,0,1,3,1,2,2,19,3,1,Research & Development,Life Sciences,Research Scientist,Married
0,1,14,2,6,5772,46,8,0,9,3,2,4,1,5,3,4,Sales,Marketing,Sales Executive,Single
0,0,1,1,0,2269,35,1,0,1,4,1,4,4,8,3,2,Research & Development,Life Sciences,Laboratory Technician,Married
1,1,23,3,0,5381,48,0,0,1,2,1,3,1,1,3,2,Research & Development,Life Sciences,Laboratory Technician,Single
1,1,2,1,2,3441,28,2,0,2,3,1,3,3,5,2,3,Research & Development,Technical Degree,Laboratory Technician,Single
0,1,9,2,3,5454,44,3,1,4,3,1,1,2,1,2,2,Sales,Marketing,Sales Executive,Divorced
0,1,10,3,0,9884,35,3,1,4,2,0,1,3,11,3,3,Research & Development,Medical,Healthcare Representative,Married
0,1,5,2,2,4157,26,0,1,2,2,1,4,3,23,2,2,Sales,Marketing,Sales Executive,Married
0,1,15,3,14,13458,33,12,0,15,3,2,4,1,1,3,1,Research & Development,Life Sciences,Research Director,Single
